# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.86,2.81,-0.9364522666305897,0,0.01,1173.714706502349,0.0,0.0,0.034635660942495865
 0.20516489257553863,2.860210435055623,2.8099965603062635,-0.9364522666305897,0.002051648925755386,0.009999999999999998,1173.714706502349,0.0071060216565499434,148.8095105371895,0.17763762323073892
 0.32516730230585933,2.860514864596805,2.810089175241575,16.9210475886217,0.0032516730230585933,0.010000000000000002,385.07782586409417,0.02842296450300541,72.82122281579416,0.30906448866389397
 0.44010932621012894,2.86091251979839,2.810277071840366,25.29126632225286,0.0044010932621012895,0.01,161.71730937268134,0.06394746234697157,40.94120054661418,0.4369248512624281
 0.5539193852346485,2.861402631835222,2.810559477137069,29.950786772997706,0.005539193852346485,0.01,81.32851582586541,0.11367390545842793,25.846552214223294,0.5634060943672538
 0.6673731384620061,2.861984431882144,2.8109356181661163,32.88317512968821,0.00667373138462006,0.009999999999999995,46.276812386839495,0.1775944414555597,17.707646688523216,0.6895088898190533
 0.780648741202506,2.8626571511139995,2.8114047219619405,34.889019481446496,0.00780648741202506,0.01,28.745461710198533,0.25569897654474594,12.864814070281543,0.8156879465854655
 0.8937755821175939,2.8634200207056333,2.811966015558974,36.34437525617742,0.008937755821175938,0.01,19.052966017122937,0.34797517711447457,9.763114520977105,0.9421606442017132
 1.0067428295010696,2.864272271831889,2.812618725991648,37.44728742950184,0.010067428295010696,0.010000000000000004,13.273104931672654,0.45440847168298437,7.661703181964832,1.0690349135887904
 1.1195301482159374,2.8652131356676103,2.813362080294397,38.31143038818483,0.011195301482159373,0.009999999999999986,9.617239555815882,0.5749820531992444,6.173895569889599,1.1963646776987238
 1.2321169129445986,2.8662418433876407,2.814195305501651,39.00652931617132,0.012321169129445983,0.009999999999999993,7.193340803799821,0.7096768816969912,5.082661567909504,1.3241755528922918
 1.3444847974591565,2.8673576261668248,2.8151176286478434,39.577657244260756,0.013444847974591563,0.010000000000000004,5.523255294553032,0.8584716873013931,4.258835146546727,1.4524775401070307
 1.4566182258868,2.868559715180005,2.8161282767674063,40.055215030351185,0.014566182258867997,0.009999999999999998,4.335170820033774,1.0213429735877444,3.6217517331558864,1.5812716458358003
 1.5685041552715755,2.8698473416020263,2.817226476894773,40.46043808901625,0.015685041552715752,0.009999999999999992,3.4668579281968084,1.1982650212918766,3.1189729385066554,1.7105535024676575
 1.6801316903379648,2.871219736607732,2.818411456064374,40.808601350080515,0.016801316903379646,0.010000000000000002,2.817434702555946,1.3892098923715201,2.7152329504238444,1.8403154287407024
 1.791491698978837,2.872676131371966,2.8196824413106425,41.1109697149017,0.01791491698978837,0.010000000000000016,2.32193146656093,1.594147434418015,2.3861159143814463,1.97054764326426
 1.9025764787597297,2.874215757069572,2.8210386596680115,41.37603087578245,0.019025764787597297,0.01000000000000001,1.937221712253081,1.8130452854177825,2.1142877212639815,2.1012390005325305
 2.013379482790113,2.875837844875393,2.822479338170912,41.61030030668305,0.020133794827901126,0.009999999999999981,1.6339131370690787,2.0458688788625867,1.8871689719669087,2.2323774487697663
 2.123895099439722,2.8775416259642745,2.824003703853777,41.81886194934198,0.021238950994397217,0.01,1.3915035369925777,2.2925814492080585,1.6954526760373143,2.3639503210702975
 2.2341184768723417,2.8793263315110593,2.8256109837510386,42.00574046957199,0.022341184768723415,0.010000000000000002,1.1953946484083806,2.5531440376793526,1.5321339191762218,2.495944524081568
 2.3440453835389916,2.8811911926905913,2.8273004048971297,42.174163211906084,0.023440453835389913,0.009999999999999993,1.0349994080988836,2.827515498423203,1.3918591228368906,2.628346662360578
 2.4536720970575825,2.883135440677714,2.8290711943264824,42.326748153223555,0.024536720970575823,0.010000000000000002,0.9025121435378564,3.1156525050053507,1.270480103083791,2.7611431215401057
 2.5629953153623823,2.8851583066472717,2.830922579073528,42.4656411268849,0.025629953153623822,0.010000000000000012,0.7920915405684864,3.4175095572522762,1.1647424964217865,2.8943201246879857
 2.6720120853086278,2.887259021774108,2.8328537861727,42.592617591663924,0.02672012085308628,0.010000000000000018,0.6993068424143375,3.7330389884361748,1.0720642194362193,3.0278637709640486
 2.7807197449868437,2.8894368172330664,2.83486404265843,42.70915918398359,0.02780719744986844,0.010000000000000016,0.6207555911251402,4.062190972802134,0.9903754275793856,3.1617600624211923
 2.8891158768462613,2.891690924198991,2.836952575565151,42.8165120494218,0.028891158768462613,0.00999999999999998,0.553795364006012,4.404913533436182,0.9180012140773989,3.2959949228063645
 2.997198269380264,2.894020573846726,2.8391186119272946,42.91573181698841,0.02997198269380264,0.010000000000000018,0.4963526403324007,4.761152550473019,0.8535744880657353,3.4305542108919007
 3.1049648856300234,2.8964249973511142,2.841361378779294,43.00771865128437,0.031049648856300238,0.010000000000000018,0.4467847140750229,5.130851769642203,0.7959704783241935,3.565423730050041
 3.2124138371474222,2.898903425887,2.8436801031555805,43.093244844619115,0.03212413837147423,0.010000000000000028,0.4037786457968411,5.513952811151333,0.7442569382239818,3.7005892352293235
 3.319543362353704,2.9014550906292276,2.8460740120905865,43.17297673704253,0.033195433623537045,0.00999999999999999,0.36627643655525505,5.910395178904928,0.6976558922672411,3.836036438133537
 3.426351808456944,2.90407922275264,2.8485423326187456,43.24749227881036,0.03426351808456945,0.010000000000000021,0.33341900828738386,6.320116270057379,0.6555139676065003,3.971751011149704
